Dia,Ingreso Reservas,Ingreso extras,Costo Operativo,Costo marketing,Costo Remuneracion,Costos Extras,Extras
01/01/2026,399910,51500,55650,11687,0,19650,"cerveza_royal x3, tabla_4_personas x1, fanta x1, coca-cola x4"
02/01/2026,319940,5800,37500,12167,0,1500,coca-cola x2
03/01/2026,139980,0,18000,18563,0,0,Sin extras
04/01/2026,194950,0,18000,20096,0,0,Sin extras
06/01/2026,197940,0,18000,26725,0,0,Sin extras
07/01/2026,334930,68400,61950,18650,0,25950,"velas x1, tabla_2_personas x2, coca-cola x1, maracuya_stone_ x1, cerveza_artesanal_ambar x2"
08/01/2026,139980,20000,21000,20924,0,3000,pack_iluminacion_(velas_y_letras) x1
09/01/2026,484910,50000,73980,17513,0,19980,"tabla_2_personas x1, champaña_riccadonna_ruby x1, champaña_riccadonna_moscato_rose x1"
10/01/2026,477916,70400,84350,17741,0,30350,"tabla_2_personas x1, cerveza_artesanal_ambar x1, cerveza_artesanal_negra x1, fanta x1, tabla_2_personas x1, lemon_stone x1, cerveza_artesanal_ambar x2"
11/01/2026,532870,114400,101630,24067,0,47630,"cerveza_artesanal_negra x5, champaña_riccadonna_ruby x1, coca-cola x1, lemon_stone x1, cerveza_artesanal_negra x8, champaña_riccadonna_moscato_rose x1"
12/01/2026,557860,47000,73400,22190,0,19400,"tabla_2_personas x1, vino_merlot x1, cerveza_artesanal_ambar x1, cerveza_artesanal_negra x1"
13/01/2026,167944,55000,40000,20397,0,22000,"tabla_4_personas x1, video_15_segundos x1"
14/01/2026,139980,20000,27000,20020,0,9000,tabla_2_personas x1
15/01/2026,952810,160000,155000,20476,0,47000,"tabla_2_personas x1, tabla_2_personas x1, foto_con_marco x1, foto_con_marco x1, tabla_2_personas x1, foto_con_marco x1, foto_con_marco x1, video_60_segundos x1"
16/01/2026,301944,110000,68000,36677,0,32000,"tabla_2_personas x1, video_15_segundos x1, video_60_segundos x1, pack_iluminacion_(velas_y_letras) x1"
17/01/2026,164970,45000,30500,34527,0,12500,"foto_con_marco x1, video_15_segundos x1"
18/01/2026,194950,52900,37750,46202,0,19750,"fanta x1, tabla_2_personas x1, video_15_segundos x1"
19/01/2026,484910,67000,82600,29005,0,28600,"tabla_2_personas x1, lemon_stone x2, modo_romantico x1, tabla_2_personas x1, tabla_2_personas x1"
20/01/2026,139980,42000,33400,41490,0,15400,"video_15_segundos x1, cerveza_artesanal_negra x2"
21/01/2026,419940,76000,84700,39022,0,30700,"foto_con_marco x1, cerveza_artesanal_ambar x2, tabla_4_personas x1, modo_romantico x1, cerveza_artesanal_negra x4"
22/01/2026,613866,100000,112990,34939,0,40990,"tabla_2_personas x1, video_15_segundos x1, tabla_2_personas x2, jugo_naranja x1"
24/01/2026,111984,12000,23400,30296,0,5400,"cerveza_artesanal_ambar x1, cerveza_artesanal_negra x1"
25/01/2026,404880,72000,67380,29160,0,31380,"cerveza_artesanal_ambar x2, tabla_2_personas x2, jugo_natural_1lt x2"
26/01/2026,572880,70000,82000,32769,0,28000,"tabla_2_personas x1, tabla_2_personas x1, video_15_segundos x1"
27/01/2026,139980,35000,25490,853,0,7490,"velas x1, foto_con_marco x1, jugo_natural_1lt x1"
28/01/2026,139980,0,18000,0,0,0,Sin extras
29/01/2026,139980,60000,26500,0,0,8500,"velas x1, letras_te_amo x1, foto_con_marco x1, pack_iluminacion_(velas_y_letras) x1"
30/01/2026,329940,0,36000,0,0,0,Sin extras
31/01/2026,362920,0,36000,0,0,0,Sin extras
01/02/2026,661848,80000,100480,0,0,28480,"tabla_2_personas x1, vino_carmenere x1, jugo_natural_1lt x1, foto_con_marco x1, jugo_natural_1lt x1, cerveza_artesanal_negra x1, cerveza_kunstman_valdivia x1"
02/02/2026,344930,35000,50000,0,0,14000,"tabla_2_personas x1, vino_carmenere x1"
03/02/2026,582880,40800,66500,0,0,12500,"tabla_2_personas x1, coca-cola x2, letras_te_amo x1, modo_romantico x1"
04/02/2026,1077720,25000,120000,0,0,12000,tabla_4_personas x1
05/02/2026,1054770,41900,125040,0,0,17040,"fanta x1, cerveza_artesanal_ambar x2, cerveza_artesanal_negra x2, champaña_riccadonna_asti x1"
06/02/2026,833868,50000,111990,0,0,21990,"tabla_2_personas x1, tabla_2_personas x1, jugo_natural_1lt x1"
07/02/2026,599910,145000,98000,0,0,44000,"video_60_segundos x1, tabla_2_personas x1, video_60_segundos x1, pack_iluminacion_(velas_y_letras) x1, tabla_4_personas x1"
08/02/2026,621377,68700,75250,0,0,21250,"fanta x1, tabla_2_personas x1, coca-cola x2, modo_romantico x1, video_60_segundos x1"
09/02/2026,904790,0,90000,0,0,0,Sin extras
10/02/2026,605810,0,54000,0,0,0,Sin extras
11/02/2026,907810,50000,109000,0,0,19000,"tabla_2_personas x1, video_15_segundos x1"
12/02/2026,1330710,0,126000,0,0,0,Sin extras
13/02/2026,741951,0,90000,0,0,0,Sin extras
14/02/2026,1014840,128800,132580,0,0,42580,"cerveza_royal x2, tabla_2_personas x1, video_15_segundos x1, coca-cola x2, jugo_natural_1lt x1, modo_romantico x1, video_60_segundos x1, champaña_riccadonna_ruby x1"
15/02/2026,469940,20000,63000,0,0,9000,"tabla_2_personas x1, modo_romantico x1"
16/02/2026,532890,175000,128500,0,0,74500,"foto_con_marco x1, tabla_2_personas x8"
17/02/2026,782810,50000,86000,0,0,14000,"foto_con_marco x1, tabla_2_personas x1, foto_con_marco x1"
18/02/2026,864840,75000,116000,0,0,26000,"tabla_4_personas x1, foto_con_marco x1, tabla_2_personas x1, foto_con_marco x1"
19/02/2026,599910,78000,74980,0,0,20980,"champaña_riccadonna_asti x1, tabla_2_personas x1, toalla_poncho x2, jugo_natural_1lt x1, foto_con_marco x1"
20/02/2026,869860,84800,125790,0,0,35790,"tabla_2_personas x1, cerveza_artesanal_negra x2, cerveza_artesanal_ambar x1, cerveza_artesanal_negra x1, tabla_2_personas x1, coca-cola x2, champaña_riccadonna_asti x1"
21/02/2026,639900,40000,72000,0,0,18000,"tabla_2_personas x1, tabla_2_personas x1"
22/02/2026,574900,20000,63000,0,0,9000,tabla_2_personas x1
23/02/2026,509900,0,54000,0,0,0,Sin extras
24/02/2026,304950,0,36000,0,0,0,Sin extras
25/02/2026,569850,0,54000,0,0,0,Sin extras
26/02/2026,809850,100000,113000,0,0,23000,"modo_romantico x1, video_60_segundos x1, pack_iluminacion_(velas_y_letras) x1, video_60_segundos x1"
27/02/2026,699840,82000,89890,0,0,17890,"foto_con_marco x3, jugo_natural_1lt x1, cerveza_austral_calafate x1, foto_con_marco x1, cerveza_austral_lager x1, cerveza_austral_calafate x1"
28/02/2026,374910,0,54000,0,0,0,Sin extras
01/03/2026,559910,0,54000,0,0,0,Sin extras
02/03/2026,409940,101000,58000,0,0,22000,"toalla x2, tabla_4_personas x1, toalla_poncho x2, modo_romantico x1, video_60_segundos x1"
03/03/2026,499920,35000,65000,0,0,11000,"tabla_2_personas x1, letras_te_amo x1"
04/03/2026,179960,0,18000,0,0,0,Sin extras
06/03/2026,139980,0,18000,0,0,0,Sin extras
07/03/2026,179980,35000,32490,0,0,14490,"tabla_2_personas x1, champaña_riccadonna_ruby x1"
08/03/2026,334930,0,36000,0,0,0,Sin extras
