Extras vendidos,cantidad,ingresos,costos,utilidad
tabla_2_personas,50,1000000,450000,550000
video_60_segundos,9,360000,90000,270000
foto_con_marco,19,285000,47500,237500
video_15_segundos,9,270000,90000,180000
tabla_4_personas,7,175000,84000,91000
cerveza_artesanal_negra,28,168000,75600,92400
pack_iluminacion_(velas_y_letras),5,100000,15000,85000
jugo_natural_1lt,9,90000,35910,54090
cerveza_artesanal_ambar,14,84000,37800,46200
champaña_riccadonna_ruby,4,60000,21960,38040
coca-cola,16,46400,12000,34400
letras_te_amo,3,45000,6000,39000
champaña_riccadonna_asti,3,45000,16470,28530
toalla_poncho,4,36000,0,36000
velas,3,30000,3000,27000
champaña_riccadonna_moscato_rose,2,30000,10980,19020
vino_carmenere,2,30000,10000,20000
cerveza_royal,5,20000,6500,13500
toalla,2,18000,0,18000
vino_merlot,1,15000,5000,10000
fanta,5,14500,3750,10750
lemon_stone,4,14000,3200,10800
jugo_naranja,1,10000,3990,6010
cerveza_austral_calafate,2,8000,2600,5400
cerveza_kunstman_valdivia,1,4000,1300,2700
cerveza_austral_lager,1,4000,1300,2700
maracuya_stone_,1,3500,800,2700
modo_romantico,8,0,0,0
